,title,price,location,shop_name,rating,product_img_url,product_detail_url
843,ADIDAS YEEZY V2 BLACK COOPER,Rp 550.000,Jakarta,KICKSJKT,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/10/17/20970695/20970695_755ff52b-af83-4b34-8512-85d186a84967.jpg,https://www.tokopedia.com/kicks-jakarta/adidas-yeezy-v2-black-cooper?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D19_catid%3D1845&lt=%2Fsearchproduct%20-%20p280%20-%20product
844,ADIDAS YEEZY BOOST 350 V2 BLACK WHITE MIRROR QUALITY,Rp 545.000,Jakarta,Syahla Shoes,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/2/10/0/0_ac339e28-5bcd-4bc2-97fa-e0fa8c6f2685_576_1024.jpg,https://www.tokopedia.com/addidas/adidas-yeezy-boost-350-v2-black-white-mirror-quality?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D24_catid%3D1845&lt=%2Fsearchproduct%20-%20p281%20-%20product
845,ADIDAS YEEZY BOOST 350 V2 OREO,Rp 825.000,Jakarta,Trend.Stuff,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/10/11/0/0_4396d42b-7736-44d6-9a0f-f0bf9549c897_739_554.jpg,https://www.tokopedia.com/trendstuffjkt/adidas-yeezy-boost-350-v2-oreo?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D26_catid%3D1845&lt=%2Fsearchproduct%20-%20p282%20-%20product
846,adidas Yeezy boost 350 v2 Beluga grey 2.0,Rp 430.000,Jakarta,Dryshoes,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/1/19/0/0_0c21800d-0837-4d4d-86b4-1d4ad3d69384_700_680.jpg,https://www.tokopedia.com/dryshoesshop/adidas-yeezy-boost-350-v2-beluga-grey-2-0?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D28_catid%3D1845&lt=%2Fsearchproduct%20-%20p282%20-%20product
847,SEPATU ADIDAS YEEZY BOOST WOMEN,Rp 165.000,Kota Bandung,queen sneakers,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/11/22/6579176/6579176_e3cd1997-a66f-480d-8b35-706c8f2b918b_700_700.jpg,https://www.tokopedia.com/queensneakers/sepatu-adidas-yeezy-boost-women?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D30_catid%3D1908&lt=%2Fsearchproduct%20-%20p282%20-%20product
848,Adidas Yeezy Boost V3  Triple Black  Premium Original / sepatu adidas,Rp 440.000,Jakarta,A & D Shoes Shop,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/12/24/4730688/4730688_51c45ae2-65ba-482b-996c-ca40bad8ec9a.jpg,https://www.tokopedia.com/andshoes/adidas-yeezy-boost-v3-triple-black-premium-original-sepatu-adidas?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D46_catid%3D1845&lt=%2Fsearchproduct%20-%20p286%20-%20product
849,Adidas Yeezy 350 V2 Black Red Words (2017),Rp 12.800.000,Jakarta,True OG Kicks,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/9/14/181498871/181498871_a0dd46cf-9252-4f69-bc9a-c8db9f43b192_2048_0.jpg,https://www.tokopedia.com/trueogkicks/adidas-yeezy-350-v2-black-red-words-2017-hitam-us-8?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D47_catid%3D1845&lt=%2Fsearchproduct%20-%20p286%20-%20product
850,adidas yeezy boost 350 V2 red strip,Rp 16.000.000,Jakarta,Monster_sneakers,1,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/6/4/1898634/1898634_3cffed82-219a-4022-8dd1-81e61f670f8a,https://www.tokopedia.com/monster-sneakers/adidas-yeezy-boost-350-v2-red-strip?trkid=f%3DCa0000L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D24_ob%3D5_q%3Dyeezy_po%3D53_catid%3D1845&lt=%2Fsearchproduct%20-%20p287%20-%20product
851,SEPATU SNEAKERS PRIA CASUAL SPORT RUNNING ADIDAS YEEZY BOOST 350 MEN,165000,Kota Bandung,brosneakers,156,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/7/1/149578090/149578090_6b36722c-53ee-4d9c-98e0-3986951c90ae_2048_2048.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_KOostfopUEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1uN332qqjOWu_VHucPN3Bz-PJNJgRP68_Vt_Bzo8Jh1ZMWqQujF_BzDQJOJ1_og17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?number_ads_req=10&ob=5&n_candidate_ads=828&t=desktop&alg=stm&keywords=yeezy&number_of_ads=10&page=25&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&src=search&post_alg=cpc_shop_unq&dep_ids=1759%2C1800%2C1845&is_search=1&ab_test=N
852,IMPORT SEPATU SPORT ADIDAS YEEZY BOOST V2 SNEAKERS,185000,Kota Bandung,gyshel sneakers,68,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/7/1/169341683/169341683_1321feaa-28e0-4136-a3a1-117c88bac74e_2048_2048.jpg,https://ta.tokopedia.com/promo/v1/clicks/HAthosKpHsrdHAth6sJEH_1p6_1dH_KOostfopUEHAtFbsn76AJF6_2B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1uN332qqjOWu_VHucPN3Bz-PJNJgRP68_Vt_Bzo8Jh1ZMWqQujF_BzDQJOJ1_og17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjVO_1zCH7OkZ_VvzJ1p_32u81NJqpCvzJjFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_1H7P7NJgRxozcWd_1zsP7YJqRP6zJ7O_jzzq3gzv_7EUaHau1Y5zjoH3ugh8cP5PjzxoJPRzMzArft7Q7h-QBoC3BgkeMgcZ_CFrO-Z8jVtz3zpz1PDyMhHZI2-8cy71MVvoZO-gZOBPRBD6VthHJ7W1OumeiOy3_xuocVkgsnfe1zx8MgFHcUpZ7gh3jo-Z_uzZO2jzchHHV-ZQ3Kp17Vag9Hs?number_ads_req=10&ob=5&n_candidate_ads=828&t=desktop&alg=stm&keywords=yeezy&number_of_ads=10&page=25&r=https%3A%2F%2Fwww.tokopedia.com%2Fbrosneakers%2Fsepatu-sneakers-pria-casual-sport-running-adidas-yeezy-boost-350-men%3Fsrc%3Dtopads&src=search&post_alg=cpc_shop_unq&dep_ids=1759%2C1800%2C1845&is_search=1&ab_test=N
